player_id,team,disposals_avg_last3,disposals_avg_last5,disposals_avg_last10,goals_avg_last3,goals_avg_last5,goals_avg_last10,fantasy_avg_last3,fantasy_avg_last5,fantasy_avg_last10,games_played_prior,home_away,win_rate_last5,ladder_rank_pre,rest_days
45572,Geelong Cats,16.0,15.6,12.777777777777779,,1.0,1.0,64.0,61.8,52.9,197,A,0.8,2.0,7.0
45090,Richmond Tigers,14.0,12.75,15.0,0.3333333333333333,0.4,0.6,65.66666666666667,59.2,63.9,31,H,0.0,2.0,10.0
44805,Richmond Tigers,7.0,7.0,7.0,0.0,0.0,0.0,38.0,38.0,38.0,1,A,0.0,5.0,6.0
43578,Port Adelaide Power,13.666666666666666,11.4,12.3,0.6666666666666666,0.6,0.8,79.0,68.8,71.6,57,H,0.4,1.0,7.0
46275,Richmond Tigers,7.0,7.0,7.0,,,,38.0,38.0,38.0,1,A,0.0,5.0,6.0
44032,Adelaide Crows,14.0,14.2,12.2,0.3333333333333333,0.8,1.1,54.333333333333336,58.0,54.2,70,A,0.4,5.0,7.0
45245,Essendon Bombers,8.333333333333334,8.5,10.25,1.3333333333333333,1.4,1.4,37.0,38.8,51.9,114,A,0.4,1.0,6.0
43984,West Coast Eagles,10.333333333333334,10.2,11.0,1.6666666666666667,1.6,1.3,61.0,59.6,58.3,77,H,0.2,2.0,6.0
45366,Sydney Swans,10.0,11.8,13.1,,,,35.333333333333336,38.0,47.0,198,H,0.6,3.0,7.0
44815,Geelong Cats,8.333333333333334,9.2,10.1,1.0,0.8,1.0,46.0,50.8,59.4,134,A,0.8,1.0,8.0
44200,Hawthorn Hawks,16.5,16.5,16.5,0.5,0.5,0.5,83.0,83.0,83.0,2,A,0.2,6.0,6.0
46163,Hawthorn Hawks,16.5,16.5,16.5,1.0,1.0,1.0,83.0,83.0,83.0,2,A,0.2,6.0,6.0
45925,Port Adelaide Power,13.0,12.4,12.9,1.6666666666666667,2.0,2.3333333333333335,62.0,60.6,69.9,254,A,0.6,3.0,7.0
44537,Hawthorn Hawks,12.333333333333334,13.6,14.9,1.6666666666666667,1.4,0.7,64.66666666666667,68.4,69.0,21,A,0.0,7.0,7.0
45396,Adelaide Crows,9.666666666666666,9.6,6.5,1.5,1.75,2.0,73.66666666666667,76.4,62.8,176,H,0.0,3.0,8.0
45642,St Kilda Saints,7.333333333333333,8.6,8.5,,,,41.0,45.0,48.9,239,H,0.8,1.0,10.0
44101,Melbourne Demons,13.0,13.0,13.0,1.0,1.0,1.0,63.0,63.0,63.0,1,H,0.6,5.0,8.0
46141,Melbourne Demons,13.0,13.0,13.0,1.0,1.0,1.0,63.0,63.0,63.0,1,H,0.6,5.0,8.0
45023,Hawthorn Hawks,8.0,8.2,9.0,0.0,0.0,0.2,24.0,26.0,34.7,19,A,0.0,5.0,8.0
